0.00E+00,6.25E-07,6.32E-07,1.27E-06,5.88E-07,5.97E-07,1.19E-06,6.11E-07,1.27E-06,6.05E-07,1.30E-06,1.28E-06,6.15E-07,6.37E-07,1.25E-06,1.24E-06,1.26E-06,1.27E-06,1.25E-06,6.44E-07
6.25E-07,0.00E+00,5.99E-07,1.34E-06,6.20E-07,6.31E-07,1.28E-06,6.15E-07,1.27E-06,6.23E-07,1.21E-06,1.26E-06,6.08E-07,6.20E-07,1.30E-06,1.31E-06,1.22E-06,1.27E-06,1.32E-06,6.08E-07
6.32E-07,5.99E-07,0.00E+00,1.24E-06,6.12E-07,5.97E-07,1.24E-06,6.05E-07,1.26E-06,5.99E-07,1.31E-06,1.22E-06,6.22E-07,5.97E-07,1.31E-06,1.22E-06,1.20E-06,1.28E-06,1.27E-06,5.76E-07
1.27E-06,1.34E-06,1.24E-06,0.00E+00,1.31E-06,1.21E-06,5.82E-07,1.21E-06,6.16E-07,1.26E-06,5.73E-07,5.79E-07,1.27E-06,1.30E-06,6.09E-07,5.93E-07,6.22E-07,5.81E-07,5.99E-07,1.21E-06
5.88E-07,6.20E-07,6.12E-07,1.31E-06,0.00E+00,5.79E-07,1.18E-06,6.17E-07,1.26E-06,6.30E-07,1.28E-06,1.28E-06,6.03E-07,6.02E-07,1.26E-06,1.27E-06,1.32E-06,1.28E-06,1.26E-06,5.74E-07
5.96E-07,6.31E-07,5.97E-07,1.21E-06,5.79E-07,0.00E+00,1.21E-06,5.94E-07,1.27E-06,5.54E-07,1.28E-06,1.28E-06,6.16E-07,5.96E-07,1.23E-06,1.29E-06,1.26E-06,1.26E-06,1.27E-06,5.94E-07
1.19E-06,1.28E-06,1.24E-06,5.82E-07,1.18E-06,1.21E-06,0.00E+00,1.29E-06,6.08E-07,1.30E-06,5.64E-07,6.01E-07,1.26E-06,1.25E-06,6.06E-07,6.15E-07,5.66E-07,5.97E-07,6.26E-07,1.27E-06
6.11E-07,6.15E-07,6.05E-07,1.21E-06,6.17E-07,5.94E-07,1.29E-06,0.00E+00,1.31E-06,6.31E-07,1.26E-06,1.29E-06,5.96E-07,6.00E-07,1.24E-06,1.34E-06,1.23E-06,1.28E-06,1.33E-06,5.94E-07
1.27E-06,1.27E-06,1.26E-06,6.16E-07,1.26E-06,1.27E-06,6.08E-07,1.31E-06,0.00E+00,1.28E-06,6.09E-07,6.04E-07,1.27E-06,1.24E-06,5.99E-07,6.01E-07,6.11E-07,5.70E-07,6.19E-07,1.26E-06
6.05E-07,6.23E-07,5.99E-07,1.26E-06,6.30E-07,5.54E-07,1.30E-06,6.31E-07,1.28E-06,0.00E+00,1.35E-06,1.29E-06,5.75E-07,6.01E-07,1.29E-06,1.28E-06,1.21E-06,1.23E-06,1.27E-06,5.72E-07
1.30E-06,1.21E-06,1.31E-06,5.73E-07,1.28E-06,1.28E-06,5.64E-07,1.26E-06,6.09E-07,1.35E-06,0.00E+00,6.08E-07,1.24E-06,1.24E-06,5.96E-07,5.97E-07,5.94E-07,6.11E-07,5.82E-07,1.29E-06
1.28E-06,1.26E-06,1.22E-06,5.79E-07,1.28E-06,1.28E-06,6.01E-07,1.29E-06,6.04E-07,1.29E-06,6.08E-07,0.00E+00,1.27E-06,1.27E-06,6.00E-07,6.01E-07,6.13E-07,6.19E-07,6.16E-07,1.25E-06
6.15E-07,6.08E-07,6.22E-07,1.27E-06,6.03E-07,6.16E-07,1.26E-06,5.96E-07,1.27E-06,5.75E-07,1.24E-06,1.27E-06,0.00E+00,5.72E-07,1.19E-06,1.23E-06,1.29E-06,1.32E-06,1.27E-06,6.12E-07
6.36E-07,6.20E-07,5.97E-07,1.30E-06,6.02E-07,5.96E-07,1.25E-06,6.00E-07,1.24E-06,6.01E-07,1.24E-06,1.27E-06,5.72E-07,0.00E+00,1.25E-06,1.33E-06,1.21E-06,1.28E-06,1.27E-06,5.91E-07
1.25E-06,1.30E-06,1.31E-06,6.09E-07,1.26E-06,1.23E-06,6.06E-07,1.24E-06,5.99E-07,1.29E-06,5.96E-07,6.00E-07,1.19E-06,1.25E-06,0.00E+00,5.97E-07,6.02E-07,6.11E-07,5.89E-07,1.25E-06
1.24E-06,1.31E-06,1.22E-06,5.93E-07,1.27E-06,1.29E-06,6.15E-07,1.34E-06,6.01E-07,1.28E-06,5.97E-07,6.01E-07,1.23E-06,1.33E-06,5.97E-07,0.00E+00,5.67E-07,5.66E-07,6.20E-07,1.25E-06
1.26E-06,1.22E-06,1.20E-06,6.22E-07,1.32E-06,1.26E-06,5.66E-07,1.23E-06,6.11E-07,1.21E-06,5.94E-07,6.13E-07,1.29E-06,1.21E-06,6.01E-07,5.67E-07,0.00E+00,6.11E-07,6.36E-07,1.28E-06
1.27E-06,1.27E-06,1.28E-06,5.81E-07,1.28E-06,1.26E-06,5.97E-07,1.28E-06,5.70E-07,1.23E-06,6.11E-07,6.19E-07,1.32E-06,1.28E-06,6.11E-07,5.66E-07,6.11E-07,0.00E+00,6.14E-07,1.29E-06
1.25E-06,1.32E-06,1.27E-06,5.99E-07,1.26E-06,1.27E-06,6.26E-07,1.33E-06,6.19E-07,1.27E-06,5.82E-07,6.16E-07,1.27E-06,1.27E-06,5.89E-07,6.20E-07,6.36E-07,6.14E-07,0.00E+00,1.24E-06
6.44E-07,6.08E-07,5.76E-07,1.21E-06,5.74E-07,5.94E-07,1.27E-06,5.94E-07,1.26E-06,5.72E-07,1.29E-06,1.25E-06,6.12E-07,5.91E-07,1.25E-06,1.25E-06,1.28E-06,1.29E-06,1.24E-06,0.00E+00
